"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"1";"Font-Awesome/";1;86044;4
"9";"Font-Awesome/docs/assets/js/";4;50479;4
"14";"Font-Awesome/docs/";2;50479;4
"28";"Font-Awesome/build/";2;5736;4
"42";"Font-Awesome/build/assets/js/";4;4589;4
"61";"Font-Awesome/build/assets/";3;4589;4
"83";"Font-Awesome/src/";2;29829;4
"97";"Font-Awesome/src/assets/js/";4;11473;4
"107";"Font-Awesome/src/3.2.1/";3;18356;4
"268";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"319";"Font-Awesome/";1;86044;4
"327";"Font-Awesome/docs/assets/js/";4;50479;4
"332";"Font-Awesome/docs/";2;50479;4
"346";"Font-Awesome/build/";2;5736;4
"360";"Font-Awesome/build/assets/js/";4;4589;4
"379";"Font-Awesome/build/assets/";3;4589;4
"401";"Font-Awesome/src/";2;29829;4
"415";"Font-Awesome/src/assets/js/";4;11473;4
"425";"Font-Awesome/src/3.2.1/";3;18356;4
"475";"Font-Awesome/docs/";2;50479;4
"489";"Font-Awesome/build/";2;5736;4
"503";"Font-Awesome/build/assets/js/";4;4589;4
"522";"Font-Awesome/build/assets/";3;4589;4
"544";"Font-Awesome/src/";2;29829;4
"558";"Font-Awesome/src/assets/js/";4;11473;4
"568";"Font-Awesome/src/3.2.1/";3;18356;4
"729";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"780";"Font-Awesome/";1;86044;4
"788";"Font-Awesome/docs/assets/js/";4;50479;4
"793";"Font-Awesome/docs/";2;50479;4
"807";"Font-Awesome/build/";2;5736;4
"821";"Font-Awesome/build/assets/js/";4;4589;4
"840";"Font-Awesome/build/assets/";3;4589;4
"862";"Font-Awesome/src/";2;29829;4
"876";"Font-Awesome/src/assets/js/";4;11473;4
"886";"Font-Awesome/src/3.2.1/";3;18356;4
"1047";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"1098";"Font-Awesome/";1;86044;4
"1106";"Font-Awesome/docs/assets/js/";4;50479;4
"1111";"Font-Awesome/docs/";2;50479;4
"1125";"Font-Awesome/build/";2;5736;4
"1139";"Font-Awesome/build/assets/js/";4;4589;4
"1158";"Font-Awesome/build/assets/";3;4589;4
"1180";"Font-Awesome/src/";2;29829;4
"1194";"Font-Awesome/src/assets/js/";4;11473;4
"1204";"Font-Awesome/src/3.2.1/";3;18356;4
"1365";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"1416";"Font-Awesome/";1;86044;4
"1424";"Font-Awesome/docs/assets/js/";4;50479;4
"1429";"Font-Awesome/docs/";2;50479;4
"1443";"Font-Awesome/build/";2;5736;4
"1457";"Font-Awesome/build/assets/js/";4;4589;4
"1476";"Font-Awesome/build/assets/";3;4589;4
"1498";"Font-Awesome/src/";2;29829;4
"1512";"Font-Awesome/src/assets/js/";4;11473;4
"1522";"Font-Awesome/src/3.2.1/";3;18356;4
"1683";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"1734";"Font-Awesome/";1;86044;4
"1742";"Font-Awesome/docs/assets/js/";4;50479;4
"1747";"Font-Awesome/docs/";2;50479;4
"1761";"Font-Awesome/build/";2;5736;4
"1775";"Font-Awesome/build/assets/js/";4;4589;4
"1794";"Font-Awesome/build/assets/";3;4589;4
"1816";"Font-Awesome/src/";2;29829;4
"1830";"Font-Awesome/src/assets/js/";4;11473;4
"1840";"Font-Awesome/src/3.2.1/";3;18356;4
"2001";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"2052";"Font-Awesome/";1;86044;4
"2060";"Font-Awesome/docs/assets/js/";4;50479;4
"2065";"Font-Awesome/docs/";2;50479;4
"2079";"Font-Awesome/build/";2;5736;4
"2093";"Font-Awesome/build/assets/js/";4;4589;4
"2112";"Font-Awesome/build/assets/";3;4589;4
"2134";"Font-Awesome/src/";2;29829;4
"2148";"Font-Awesome/src/assets/js/";4;11473;4
"2158";"Font-Awesome/src/3.2.1/";3;18356;4
"2319";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"2370";"Font-Awesome/";1;86044;4
"2378";"Font-Awesome/docs/assets/js/";4;50479;4
"2383";"Font-Awesome/docs/";2;50479;4
"2397";"Font-Awesome/build/";2;5736;4
"2411";"Font-Awesome/build/assets/js/";4;4589;4
"2430";"Font-Awesome/build/assets/";3;4589;4
"2452";"Font-Awesome/src/";2;29829;4
"2466";"Font-Awesome/src/assets/js/";4;11473;4
"2476";"Font-Awesome/src/3.2.1/";3;18356;4
"2637";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"2688";"Font-Awesome/";1;86044;4
"2696";"Font-Awesome/docs/assets/js/";4;50479;4
"2701";"Font-Awesome/docs/";2;50479;4
"2715";"Font-Awesome/build/";2;5736;4
"2729";"Font-Awesome/build/assets/js/";4;4589;4
"2748";"Font-Awesome/build/assets/";3;4589;4
"2770";"Font-Awesome/src/";2;29829;4
"2784";"Font-Awesome/src/assets/js/";4;11473;4
"2794";"Font-Awesome/src/3.2.1/";3;18356;4
"2955";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"3006";"Font-Awesome/";1;86044;4
"3014";"Font-Awesome/docs/assets/js/";4;50479;4
"3019";"Font-Awesome/docs/";2;50479;4
"3033";"Font-Awesome/build/";2;5736;4
"3047";"Font-Awesome/build/assets/js/";4;4589;4
"3066";"Font-Awesome/build/assets/";3;4589;4
"3088";"Font-Awesome/src/";2;29829;4
"3102";"Font-Awesome/src/assets/js/";4;11473;4
"3112";"Font-Awesome/src/3.2.1/";3;18356;4
"3273";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"3324";"Font-Awesome/";1;86044;4
"3332";"Font-Awesome/docs/assets/js/";4;50479;4
"3337";"Font-Awesome/docs/";2;50479;4
"3351";"Font-Awesome/build/";2;5736;4
"3365";"Font-Awesome/build/assets/js/";4;4589;4
"3384";"Font-Awesome/build/assets/";3;4589;4
"3406";"Font-Awesome/src/";2;29829;4
"3420";"Font-Awesome/src/assets/js/";4;11473;4
"3430";"Font-Awesome/src/3.2.1/";3;18356;4
"3591";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"3642";"Font-Awesome/";1;86044;4
"3650";"Font-Awesome/docs/assets/js/";4;50479;4
"3655";"Font-Awesome/docs/";2;50479;4
"3669";"Font-Awesome/build/";2;5736;4
